vehicle_id,start_ts,end_ts,delta_battery_pct,start_battery_pct,end_battery_pct,duration_sec,ignition_state
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-01 02:37:03.039,2023-01-01 02:57:19.002,8.3,61.5,69.8,1215.963,ignitionOff
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-01 03:03:21.002,2023-01-01 04:26:55.002,25.9,70.9,96.8,5014.0,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-01 10:44:01.014,2023-01-01 11:49:25.011,51.3,9.8,61.1,3923.997,ignitionOff
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-02 01:16:56.900,2023-01-02 02:15:11.029,49.4,29.8,79.2,3494.129,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-02 02:22:04.002,2023-01-02 03:17:07.011,18.5,81.5,100.0,3303.009,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-04 06:23:14.002,2023-01-04 07:23:54.002,47.0,33.7,80.7,3640.0,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-06 00:06:12.002,2023-01-06 01:10:23.028,51.3,24.7,76.0,3851.026,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-06 01:23:30.002,2023-01-06 02:21:58.041,23.2,76.4,99.6,3508.039,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-06 06:11:30.011,2023-01-06 07:15:07.020,40.0,46.2,86.2,3817.009,ignitionOff
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-07 05:42:07.002,2023-01-07 07:38:09.011,78.5,21.5,100.0,6962.009,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-10 02:04:44.200,2023-01-10 03:01:30.010,27.9,60.3,88.2,3405.81,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-10 03:08:53.039,2023-01-10 03:33:18.002,7.9,90.5,98.4,1464.963,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-10 21:34:33.002,2023-01-10 22:40:16.020,25.4,64.7,90.1,3943.018,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-11 05:42:14.020,2023-01-11 05:56:40.029,15.0,5.0,20.0,866.009,ignitionOff
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-11 06:35:41.002,2023-01-11 08:17:30.020,76.8,13.3,90.1,6109.018,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-12 00:12:59.036,2023-01-12 01:54:49.011,25.1,67.4,92.5,6109.975,ignitionOff
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-12 06:52:54.011,2023-01-12 08:58:02.029,85.8,9.8,95.6,7508.018,ignitionOff
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-14 06:24:56.029,2023-01-14 06:33:17.002,7.5,5.4,12.9,500.973,ignitionOff
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-14 06:47:03.002,2023-01-14 08:03:05.002,67.5,16.8,84.3,4562.0,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-15 04:27:49.002,2023-01-15 05:08:46.520,32.9,38.8,71.7,2457.518,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-15 09:44:52.150,2023-01-15 10:17:33.166,38.4,11.7,50.1,1961.016,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-15 22:39:49.039,2023-01-16 00:50:18.127,67.1,32.9,100.0,7829.088,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-16 22:42:51.002,2023-01-17 00:35:15.029,44.4,55.2,99.6,6744.027,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-17 08:36:24.015,2023-01-17 09:29:51.011,51.0,3.9,54.9,3206.996,ignitionOff
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-18 01:47:34.169,2023-01-18 02:46:53.230,54.2,25.4,79.6,3559.061,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-18 06:18:20.358,2023-01-18 06:33:20.370,10.2,44.7,54.9,900.012,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-18 23:34:36.002,2023-01-19 00:44:08.020,54.5,29.0,83.5,4172.018,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-19 07:17:40.002,2023-01-19 09:29:03.002,89.5,10.5,100.0,7883.0,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-19 22:15:50.002,2023-01-19 22:57:28.020,11.8,88.2,100.0,2498.018,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-20 23:01:46.002,2023-01-21 00:14:47.002,43.9,38.4,82.3,4381.0,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-21 06:17:34.009,2023-01-21 07:27:32.011,61.6,10.1,71.7,4198.002,ignitionOff
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-21 07:33:13.002,2023-01-21 07:57:11.029,12.2,72.1,84.3,1438.027,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-22 02:23:55.002,2023-01-22 04:00:16.020,58.4,33.7,92.1,5781.018,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-22 21:55:25.272,2023-01-22 23:35:47.420,79.6,10.5,90.1,6022.148,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-23 23:16:11.029,2023-01-24 01:01:04.018,79.6,10.9,90.5,6292.989,ignitionOff
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-24 07:35:53.002,2023-01-24 09:09:03.009,75.7,15.2,90.9,5590.007,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-26 01:36:09.036,2023-01-26 02:28:10.002,46.6,29.8,76.4,3120.966,ignitionOff
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-26 02:37:18.002,2023-01-26 03:33:07.025,20.0,80.0,100.0,3349.023,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-27 00:46:23.002,2023-01-27 01:45:50.018,29.4,61.9,91.3,3567.016,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-27 08:10:29.002,2023-01-27 09:43:04.020,76.4,14.5,90.9,5555.018,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-28 02:27:38.005,2023-01-28 03:33:06.011,25.5,67.0,92.5,3928.006,ignitionOn
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-28 12:06:22.038,2023-01-28 12:38:50.004,29.8,4.3,34.1,1947.966,ignitionOff
56d8ca94-9b18-41d1-831f-7afd905326d4,2023-01-29 01:25:56.002,2023-01-29 03:09:13.002,63.9,33.7,97.6,6197.0,ignitionOn
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2021-09-02 08:21:25.000,2021-09-02 15:01:36.057,65.1,34.9,100.0,24011.057,ignitionOff
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2021-09-03 02:09:38.000,2021-09-03 02:38:20.000,22.4,57.6,80.0,1722.0,ignitionOff
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2021-09-04 00:58:33.000,2021-09-04 01:02:13.000,4.3,50.9,55.2,220.0,ignitionOff
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2021-09-04 06:58:51.000,2021-09-04 07:28:41.000,29.8,42.7,72.5,1790.0,ignitionOff
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2021-09-04 08:10:05.000,2021-09-04 08:38:13.000,20.0,60.3,80.3,1688.0,ignitionOff
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2021-09-04 21:27:39.000,2021-09-04 22:14:49.000,40.7,39.6,80.3,2830.0,ignitionOff
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2021-09-05 21:21:18.000,2021-09-05 22:02:54.000,36.5,42.7,79.2,2496.0,ignitionOff
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2021-09-06 01:29:41.000,2021-09-06 01:31:55.029,25.1,74.9,100.0,134.029,ignitionOn
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2021-09-06 05:23:36.000,2021-09-06 05:44:06.000,24.3,38.8,63.1,1230.0,ignitionOff
